# F410M  source: SVO FPS id=JWST/NIRCam.F410M
# wavelength[AA] transmission
43307.000 9.991490e-02
43320.500 9.519530e-02
43334.000 9.065860e-02
43347.500 8.630410e-02
43361.000 8.212460e-02
43374.500 7.810990e-02
43388.000 7.425790e-02
43401.600 7.056940e-02
43415.100 6.703440e-02
43428.600 6.364500e-02
43442.100 6.039950e-02
43455.600 5.733890e-02
43469.100 5.440850e-02
43482.600 5.158160e-02
43496.100 4.888050e-02
43509.700 4.631090e-02
43523.200 4.391140e-02
43536.700 4.157290e-02
43550.200 3.934330e-02
43563.700 3.722960e-02
43577.200 3.521610e-02
43590.700 3.329870e-02
43604.200 3.147320e-02
43617.800 2.975180e-02
43631.300 2.811520e-02
43644.800 2.655960e-02
43658.300 2.508030e-02
43671.800 2.369030e-02
43685.300 2.237100e-02
43698.800 2.111840e-02
43712.300 1.992920e-02
43725.800 1.881380e-02
43739.400 1.775660e-02
43752.900 1.675310e-02
43766.400 1.580670e-02
43779.900 1.492240e-02
43793.400 1.408480e-02
43806.900 1.328540e-02
43820.400 1.252940e-02
43833.900 1.182290e-02
43847.500 1.115710e-02
43861.000 1.052180e-02
43874.500 9.926340e-03
43888.000 9.369270e-03
43901.500 8.845960e-03
43915.000 8.344690e-03
43928.500 7.878090e-03
43942.000 7.441200e-03
43955.600 7.031070e-03
43969.100 6.633730e-03
43982.600 6.265600e-03
43996.100 5.922650e-03
44009.600 5.601610e-03
44023.100 5.291320e-03
44036.600 5.003040e-03
44050.100 4.736230e-03
44063.700 4.487970e-03
44077.200 4.241290e-03
44090.700 4.009950e-03
44104.200 3.799470e-03
44117.700 3.602110e-03
44131.200 3.413250e-03
44144.700 3.237070e-03
44158.200 3.075440e-03
44171.800 2.918560e-03
44185.300 2.767330e-03
44198.800 2.621710e-03
44212.300 2.494760e-03
44225.800 2.371170e-03
44239.300 2.251260e-03
44252.800 2.135310e-03
44266.300 2.032420e-03
44279.900 1.933980e-03
44293.400 1.837160e-03
44306.900 1.746220e-03
44320.400 1.664370e-03
44333.900 1.587970e-03
44347.400 1.509900e-03
44360.900 1.438210e-03
44374.400 1.372650e-03
44388.000 1.313240e-03
44401.500 1.249130e-03
44415.000 1.190930e-03
44428.500 1.137790e-03
44442.000 1.088620e-03
44455.500 1.034700e-03
44469.000 9.843730e-04
44482.500 9.417390e-04
44496.100 9.058240e-04
44509.600 8.682310e-04
44523.100 8.298800e-04
44536.600 7.974060e-04
44550.100 7.647480e-04
44563.600 7.311320e-04
44577.100 6.947610e-04
44590.600 6.659920e-04
44604.100 6.382050e-04
44617.700 6.101960e-04
44631.200 5.817040e-04
44644.700 5.604770e-04
44658.200 5.429510e-04
44671.700 5.218160e-04
44685.200 4.977430e-04
44698.700 4.753620e-04
44712.200 4.572830e-04
44725.800 4.350720e-04
44739.300 4.150840e-04
44752.800 3.980870e-04
44766.300 3.910220e-04
44779.800 3.790190e-04
44793.300 3.639990e-04
44806.800 3.487930e-04
44820.300 3.379780e-04
44833.900 3.263140e-04
44847.400 3.104500e-04
44860.900 2.975560e-04
44874.400 2.873680e-04
44887.900 2.797900e-04
44901.400 2.645100e-04
44914.900 2.516520e-04
44928.400 2.409310e-04
44942.000 2.333010e-04
44955.500 2.232710e-04
44969.000 2.142610e-04
44982.500 2.102980e-04
44996.000 2.056240e-04
45009.500 1.987420e-04
45023.000 1.886380e-04
45036.500 1.852060e-04
45050.100 1.811090e-04
45063.600 1.754540e-04
45077.100 1.639510e-04
45090.600 1.570110e-04
45104.100 1.528280e-04
45117.600 1.466850e-04
45131.100 1.393580e-04
45144.600 1.333210e-04
45158.200 1.317040e-04
45171.700 1.238220e-04
45185.200 1.127880e-04
45198.700 1.046250e-04
45212.200 1.036020e-04
45225.700 1.022590e-04
